anime_id,title,score,popularity
1535,Death Note,8.67,1
16498,Shingeki no Kyojin,8.49,2
11757,Sword Art Online,7.64,3
5114,Fullmetal Alchemist: Brotherhood,9.25,4
30276,One Punch Man,8.73,5
22319,Tokyo Ghoul,8.0,6
6547,Angel Beats!,8.31,7
9253,Steins;Gate,9.14,8
1575,Code Geass: Hangyaku no Lelouch,8.79,9
20,Naruto,7.88,10
19815,No Game No Life,8.41,11
10620,Mirai Nikki (TV),7.89,12
4224,Toradora!,8.39,13
9919,Ao no Exorcist,7.83,14
20507,Noragami,8.15,15
226,Elfen Lied,7.75,16
21881,Sword Art Online II,7.2,17
269,Bleach,7.9,18
6702,Fairy Tail,8.08,19
1735,Naruto: Shippuuden,8.18,20
121,Fullmetal Alchemist,8.29,21
2904,Code Geass: Hangyaku no Lelouch R2,8.95,22
3588,Soul Eater,8.03,23
2001,Tengen Toppa Gurren Lagann,8.74,24
22199,Akame ga Kill!,7.8,25
11111,Another,7.77,26
31964,Boku no Hero Academia,8.44,27
18679,Kill la Kill,8.19,28
13601,Psycho-Pass,8.45,29
6746,Durarara!!,8.29,30
2167,Clannad,8.21,31
8074,Highschool of the Dead,7.36,32
32281,Kimi no Na wa.,9.19,33
21,One Piece,8.54,35
11061,Hunter x Hunter (2011),9.11,35
31240,Re:Zero kara Hajimeru Isekai Seikatsu,8.43,36
23273,Shigatsu wa Kimi no Uso,8.88,37
1,Cowboy Bebop,8.81,38
199,Sen to Chihiro no Kamikakushi,8.92,39
31043,Boku dake ga Inai Machi,8.56,40
27899,Tokyo Ghoul √A,7.45,41
22535,Kiseijuu: Sei no Kakuritsu,8.52,42
10087,Fate/Zero,8.44,43
5081,Bakemonogatari,8.35,44
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.55,45
25777,Shingeki no Kyojin Season 2,8.47,46
28223,Death Parade,8.27,47
30,Neon Genesis Evangelion,8.32,48
10793,Guilty Crown,7.74,49
9756,Mahou Shoujo Madoka★Magica,8.46,50
