genre,popularity,title
Seinen,5,One Punch Man
Dementia,48,Neon Genesis Evangelion
Romance,3,Sword Art Online
Magic,4,Fullmetal Alchemist: Brotherhood
Josei,256,Usagi Drop
Thriller,1,Death Note
Adventure,3,Sword Art Online
Super Power,2,Shingeki no Kyojin
Martial Arts,10,Naruto
Sports,85,Kuroko no Basket
Shoujo,69,Ouran Koukou Host Club
Drama,2,Shingeki no Kyojin
Shoujo Ai,380,Yuru Yuri
School,7,Angel Beats!
Hentai,1057,Boku no Pico
Military,2,Shingeki no Kyojin
Samurai,67,Samurai Champloo
Yaoi,1057,Boku no Pico
Fantasy,2,Shingeki no Kyojin
Demons,14,Ao no Exorcist
Police,1,Death Note
Shounen Ai,568,Junjou Romantica
Vampire,44,Bakemonogatari
Mecha,9,Code Geass: Hangyaku no Lelouch
Mystery,1,Death Note
Supernatural,1,Death Note
1080,5839,"\"Gyakuten Saiban: Sono \"\"Shinjitsu\"\""
Music,37,Shigatsu wa Kimi no Uso
Shounen,1,Death Note
Slice of Life,13,Toradora!
Game,3,Sword Art Online
Ecchi,11,No Game No Life
Cars,511,Redline
Kids,214,Pokemon
Space,38,Cowboy Bebop
Harem,56,High School DxD
Horror,6,Tokyo Ghoul
Psychological,1,Death Note
Yuri,1594,Aki-Sora: Yume no Naka
Comedy,4,Fullmetal Alchemist: Brotherhood
Action,2,Shingeki no Kyojin
Historical,60,Kuroshitsuji
Parody,5,One Punch Man
Sci-Fi,5,One Punch Man
